ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,3.90479629232991
ID_-0.510_29.290_2022_01,4.089356646194975
ID_-0.510_29.290_2022_02,3.991455566210743
ID_-0.510_29.290_2022_03,4.081919835151184
ID_-0.510_29.290_2022_04,4.179405190215065
ID_-0.510_29.290_2022_05,4.4328393469907015
ID_-0.510_29.290_2022_06,4.090826075183437
ID_-0.510_29.290_2022_07,3.7726858913783388
ID_-0.510_29.290_2022_08,4.17985145065171
ID_-0.510_29.290_2022_09,4.142919717084543
ID_-0.510_29.290_2022_10,4.529549279825898
ID_-0.510_29.290_2022_11,4.386512021509502
ID_-0.510_29.290_2022_12,4.797060791658388
ID_-0.510_29.290_2022_13,4.730534118881946
ID_-0.510_29.290_2022_14,4.16890886594058
ID_-0.510_29.290_2022_15,3.9022550397362026
ID_-0.510_29.290_2022_16,3.924080664279707
ID_-0.510_29.290_2022_17,5.0949228168193335
ID_-0.510_29.290_2022_18,4.955047423240266
ID_-0.510_29.290_2022_19,3.6841239029138677
ID_-0.510_29.290_2022_20,4.22157807725636
ID_-0.510_29.290_2022_21,4.031111848622046
ID_-0.510_29.290_2022_22,5.631221607419669
ID_-0.510_29.290_2022_23,4.4282632563335245
ID_-0.510_29.290_2022_24,4.641602882702945
ID_-0.510_29.290_2022_25,4.541492587470915
ID_-0.510_29.290_2022_26,4.769480015058767
ID_-0.510_29.290_2022_27,4.295804083796382
ID_-0.510_29.290_2022_28,4.001106651897136
ID_-0.510_29.290_2022_29,3.452731127029294
ID_-0.510_29.290_2022_30,4.821344133893073
ID_-0.510_29.290_2022_31,5.109578547932422
ID_-0.510_29.290_2022_32,4.5524905122920565
ID_-0.510_29.290_2022_33,4.312898648764162
ID_-0.510_29.290_2022_34,4.309246903489906
ID_-0.510_29.290_2022_35,3.992323247560966
ID_-0.510_29.290_2022_36,4.994581720717327
ID_-0.510_29.290_2022_37,5.057433684566732
ID_-0.510_29.290_2022_38,5.286899270709799
ID_-0.510_29.290_2022_39,4.9132022346831565
